    Tev(Myr)       type        Mo          Mt      L          R       Teff          Mc          Menv            Renv            epoch    spin         
   3056.2114      3.0000      1.4997      1.4989     23.0148      7.2055   4730.8369      0.2137      0.1043  12.852E-01     -1.5528  2.4297E+01
   3056.7991      3.0000      1.4997      1.4988     23.2941      7.2576   4728.0820      0.2141      0.1042  12.847E-01     -1.5528  2.3954E+01
   3057.3809      3.0000      1.4997      1.4988     23.5767      7.3100   4725.3179      0.2146      0.1041  12.843E-01     -1.5528  2.3616E+01
   3057.9565      3.0000      1.4997      1.4988     23.8628      7.3629   4722.5444      0.2150      0.1040  12.838E-01     -1.5528  2.3283E+01
   3058.5266      3.0000      1.4997      1.4988     24.1523      7.4161   4719.7622      0.2154      0.1039  12.834E-01     -1.5528  2.2955E+01
   3059.0911      3.0000      1.4997      1.4988     24.4454      7.4698   4716.9707      0.2159      0.1038  12.829E-01     -1.5528  2.2632E+01
   3059.6499      3.0000      1.4997      1.4988     24.7420      7.5239   4714.1704      0.2163      0.1038  12.825E-01     -1.5528  2.2313E+01
   3060.2031      3.0000      1.4997      1.4988     25.0422      7.5785   4711.3608      0.2167      0.1037  12.820E-01     -1.5528  2.1998E+01
   3060.7507      3.0000      1.4997      1.4988     25.3460      7.6335   4708.5425      0.2172      0.1036  12.816E-01     -1.5528  2.1689E+01
   3061.2927      3.0000      1.4997      1.4987     25.6535      7.6889   4705.7148      0.2176      0.1035  12.811E-01     -1.5528  2.1383E+01
   3061.8296      3.0000      1.4997      1.4987     25.9648      7.7447   4702.8784      0.2180      0.1034  12.807E-01     -1.5528  2.1082E+01
   3062.3608      3.0000      1.4997      1.4987     26.2799      7.8010   4700.0332      0.2185      0.1034  12.802E-01     -1.5528  2.0785E+01
   3062.8870      3.0000      1.4997      1.4987     26.5987      7.8577   4697.1787      0.2189      0.1033  12.798E-01     -1.5528  2.0493E+01
   3063.4077      3.0000      1.4997      1.4987     26.9215      7.9149   4694.3154      0.2194      0.1032  12.793E-01     -1.5528  2.0205E+01
   3063.9233      3.0000      1.4997      1.4987     27.2481      7.9725   4691.4434      0.2198      0.1031  12.789E-01     -1.5528  1.9921E+01
   3064.4338      3.0000      1.4997      1.4987     27.5787      8.0306   4688.5620      0.2202      0.1030  12.784E-01     -1.5528  1.9640E+01
   3064.9392      3.0000      1.4997      1.4986     27.9133      8.0891   4685.6724      0.2207      0.1029  12.779E-01     -1.5528  1.9364E+01
   3065.4395      3.0000      1.4997      1.4986     28.2520      8.1481   4682.7734      0.2211      0.1029  12.775E-01     -1.5528  1.9092E+01
   3065.9348      3.0000      1.4997      1.4986     28.5948      8.2076   4679.8657      0.2216      0.1028  12.770E-01     -1.5528  1.8824E+01
   3066.4250      3.0000      1.4997      1.4986     28.9418      8.2675   4676.9492      0.2220      0.1027  12.766E-01     -1.5528  1.8559E+01
   3066.9104      3.0000      1.4997      1.4986     29.2929      8.3280   4674.0239      0.2225      0.1026  12.761E-01     -1.5528  1.8298E+01
   3067.3911      3.0000      1.4997      1.4986     29.6484      8.3889   4671.0898      0.2229      0.1025  12.756E-01     -1.5528  1.8041E+01
   3067.8667      3.0000      1.4997      1.4985     30.0081      8.4502   4668.1470      0.2234      0.1025  12.752E-01     -1.5528  1.7788E+01
   3068.3379      3.0000      1.4997      1.4985     30.3722      8.5121   4665.1953      0.2238      0.1024  12.747E-01     -1.5528  1.7538E+01
   3068.8042      3.0000      1.4997      1.4985     30.7407      8.5745   4662.2349      0.2243      0.1023  12.742E-01     -1.5528  1.7292E+01
   3069.2656      3.0000      1.4997      1.4985     31.1137      8.6373   4659.2656      0.2247      0.1022  12.738E-01     -1.5528  1.7049E+01
   3069.7227      3.0000      1.4997      1.4985     31.4912      8.7007   4656.2881      0.2252      0.1021  12.733E-01     -1.5528  1.6809E+01
   3070.1750      3.0000      1.4997      1.4985     31.8733      8.7646   4653.3018      0.2256      0.1021  12.728E-01     -1.5528  1.6573E+01
   3070.6230      3.0000      1.4997      1.4984     32.2600      8.8289   4650.3066      0.2261      0.1020  12.724E-01     -1.5528  1.6341E+01
   3071.0664      3.0000      1.4997      1.4984     32.6515      8.8938   4647.3027      0.2265      0.1019  12.719E-01     -1.5528  1.6111E+01
   3071.5056      3.0000      1.4997      1.4984     33.0476      8.9592   4644.2900      0.2270      0.1018  12.714E-01     -1.5528  1.5885E+01
   3071.9402      3.0000      1.4997      1.4984     33.4486      9.0252   4641.2690      0.2274      0.1017  12.710E-01     -1.5528  1.5662E+01
   3072.3704      3.0000      1.4997      1.4984     33.8545      9.0916   4638.2397      0.2279      0.1016  12.705E-01     -1.5528  1.5442E+01
   3072.7964      3.0000      1.4997      1.4984     34.2652      9.1586   4635.2012      0.2284      0.1016  12.700E-01     -1.5528  1.5226E+01
   3073.2180      3.0000      1.4997      1.4983     34.6810      9.2261   4632.1548      0.2288      0.1015  12.695E-01     -1.5528  1.5012E+01
   3073.6355      3.0000      1.4997      1.4983     35.1018      9.2942   4629.0991      0.2293      0.1014  12.690E-01     -1.5528  1.4801E+01
   3074.0488      3.0000      1.4997      1.4983     35.5277      9.3628   4626.0356      0.2297      0.1013  12.686E-01     -1.5528  1.4594E+01
   3074.4580      3.0000      1.4997      1.4983     35.9588      9.4319   4622.9634      0.2302      0.1012  12.681E-01     -1.5528  1.4389E+01
   3074.8630      3.0000      1.4997      1.4983     36.3951      9.5016   4619.8823      0.2307      0.1012  12.676E-01     -1.5528  1.4187E+01
   3075.2642      3.0000      1.4997      1.4983     36.8367      9.5719   4616.7935      0.2311      0.1011  12.671E-01     -1.5528  1.3988E+01
   3075.6611      3.0000      1.4997      1.4982     37.2836      9.6427   4613.6958      0.2316      0.1010  12.666E-01     -1.5528  1.3792E+01
   3076.0542      3.0000      1.4997      1.4982     37.7360      9.7141   4610.5894      0.2321      0.1009  12.662E-01     -1.5528  1.3598E+01
   3076.4434      3.0000      1.4997      1.4982     38.1939      9.7861   4607.4751      0.2325      0.1008  12.657E-01     -1.5528  1.3407E+01
